trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
616,12:22:00,12:22:00,70202,18,,0,0,54786.94500055,1
616,12:25:00,12:25:00,70212,19,,0,0,57895.35927592,1
616,12:29:00,12:29:00,70222,20,,0,0,62207.87669606,1
616,12:33:00,12:33:00,70232,21,,0,0,65397.82046951,1
616,12:37:00,12:37:00,70242,22,,0,0,71287.50060100,1
616,12:44:00,12:44:00,70262,23,,0,0,75448.72622223,1
618,11:55:00,11:55:00,70012,1,,0,0,0.00000000,1
618,12:00:00,12:00:00,70022,2,,0,0,2521.94934933,1
618,12:04:00,12:04:00,70032,3,,0,0,7940.93034485,1
618,12:10:00,12:10:00,70042,4,,0,0,14613.27361600,1
618,12:13:00,12:13:00,70052,5,,0,0,17657.01202032,1
618,12:16:00,12:16:00,70062,6,,0,0,21733.69455401,1
618,12:19:00,12:19:00,70072,7,,0,0,24282.86652629,1
618,12:21:00,12:21:00,70082,8,,0,0,26043.38507674,1
618,12:24:00,12:24:00,70092,9,,0,0,28350.06083383,1
618,12:26:00,12:26:00,70102,10,,0,0,30499.05295888,1
618,12:29:00,12:29:00,70112,11,,0,0,31865.93060020,1
618,12:32:00,12:32:00,70122,12,,0,0,35199.25076625,1
618,12:34:00,12:34:00,70132,13,,0,0,37194.42283627,1
618,12:38:00,12:38:00,70142,14,,0,0,40687.04095794,1
618,12:42:00,12:42:00,70162,15,,0,0,46287.60767013,1
618,12:46:00,12:46:00,70172,16,,0,0,48298.98998482,1
618,12:49:00,12:49:00,70192,17,,0,0,50847.25988960,1
618,12:52:00,12:52:00,70202,18,,0,0,54786.94500055,1
618,12:55:00,12:55:00,70212,19,,0,0,57895.35927592,1
618,12:59:00,12:59:00,70222,20,,0,0,62207.87669606,1
618,13:03:00,13:03:00,70232,21,,0,0,65397.82046951,1
618,13:07:00,13:07:00,70242,22,,0,0,71287.50060100,1
618,13:15:00,13:15:00,70262,23,,0,0,75448.72622223,1
620,12:25:00,12:25:00,70012,1,,0,0,0.00000000,1
620,12:30:00,12:30:00,70022,2,,0,0,2521.94934933,1
620,12:34:00,12:34:00,70032,3,,0,0,7940.93034485,1
620,12:40:00,12:40:00,70042,4,,0,0,14613.27361600,1
620,12:43:00,12:43:00,70052,5,,0,0,17657.01202032,1
620,12:46:00,12:46:00,70062,6,,0,0,21733.69455401,1
620,12:49:00,12:49:00,70072,7,,0,0,24282.86652629,1
620,12:51:00,12:51:00,70082,8,,0,0,26043.38507674,1
620,12:54:00,12:54:00,70092,9,,0,0,28350.06083383,1
620,12:56:00,12:56:00,70102,10,,0,0,30499.05295888,1
620,12:59:00,12:59:00,70112,11,,0,0,31865.93060020,1
620,13:02:00,13:02:00,70122,12,,0,0,35199.25076625,1
620,13:04:00,13:04:00,70132,13,,0,0,37194.42283627,1
620,13:08:00,13:08:00,70142,14,,0,0,40687.04095794,1
620,13:12:00,13:12:00,70162,15,,0,0,46287.60767013,1
620,13:16:00,13:16:00,70172,16,,0,0,48298.98998482,1
620,13:19:00,13:19:00,70192,17,,0,0,50847.25988960,1
620,13:22:00,13:22:00,70202,18,,0,0,54786.94500055,1
620,13:25:00,13:25:00,70212,19,,0,0,57895.35927592,1
620,13:29:00,13:29:00,70222,20,,0,0,62207.87669606,1
620,13:33:00,13:33:00,70232,21,,0,0,65397.82046951,1
620,13:37:00,13:37:00,70242,22,,0,0,71287.50060100,1
620,13:44:00,13:44:00,70262,23,,0,0,75448.72622223,1
622,12:55:00,12:55:00,70012,1,,0,0,0.00000000,1
622,13:00:00,13:00:00,70022,2,,0,0,2521.94934933,1
622,13:04:00,13:04:00,70032,3,,0,0,7940.93034485,1
622,13:10:00,13:10:00,70042,4,,0,0,14613.27361600,1
622,13:13:00,13:13:00,70052,5,,0,0,17657.01202032,1
622,13:16:00,13:16:00,70062,6,,0,0,21733.69455401,1
622,13:19:00,13:19:00,70072,7,,0,0,24282.86652629,1
622,13:21:00,13:21:00,70082,8,,0,0,26043.38507674,1
622,13:24:00,13:24:00,70092,9,,0,0,28350.06083383,1
622,13:26:00,13:26:00,70102,10,,0,0,30499.05295888,1
622,13:29:00,13:29:00,70112,11,,0,0,31865.93060020,1
622,13:32:00,13:32:00,70122,12,,0,0,35199.25076625,1
622,13:34:00,13:34:00,70132,13,,0,0,37194.42283627,1
622,13:38:00,13:38:00,70142,14,,0,0,40687.04095794,1
622,13:42:00,13:42:00,70162,15,,0,0,46287.60767013,1
622,13:46:00,13:46:00,70172,16,,0,0,48298.98998482,1
622,13:49:00,13:49:00,70192,17,,0,0,50847.25988960,1
622,13:52:00,13:52:00,70202,18,,0,0,54786.94500055,1
622,13:55:00,13:55:00,70212,19,,0,0,57895.35927592,1
622,13:59:00,13:59:00,70222,20,,0,0,62207.87669606,1
622,14:03:00,14:03:00,70232,21,,0,0,65397.82046951,1
622,14:07:00,14:07:00,70242,22,,0,0,71287.50060100,1
622,14:15:00,14:15:00,70262,23,,0,0,75448.72622223,1
624,13:25:00,13:25:00,70012,1,,0,0,0.00000000,1
624,13:30:00,13:30:00,70022,2,,0,0,2521.94934933,1
624,13:34:00,13:34:00,70032,3,,0,0,7940.93034485,1
624,13:40:00,13:40:00,70042,4,,0,0,14613.27361600,1
624,13:43:00,13:43:00,70052,5,,0,0,17657.01202032,1
624,13:46:00,13:46:00,70062,6,,0,0,21733.69455401,1
624,13:49:00,13:49:00,70072,7,,0,0,24282.86652629,1
624,13:51:00,13:51:00,70082,8,,0,0,26043.38507674,1
624,13:54:00,13:54:00,70092,9,,0,0,28350.06083383,1
624,13:56:00,13:56:00,70102,10,,0,0,30499.05295888,1
624,13:59:00,13:59:00,70112,11,,0,0,31865.93060020,1
624,14:02:00,14:02:00,70122,12,,0,0,35199.25076625,1
624,14:04:00,14:04:00,70132,13,,0,0,37194.42283627,1
624,14:08:00,14:08:00,70142,14,,0,0,40687.04095794,1
624,14:12:00,14:12:00,70162,15,,0,0,46287.60767013,1
624,14:16:00,14:16:00,70172,16,,0,0,48298.98998482,1
624,14:19:00,14:19:00,70192,17,,0,0,50847.25988960,1
624,14:22:00,14:22:00,70202,18,,0,0,54786.94500055,1
624,14:25:00,14:25:00,70212,19,,0,0,57895.35927592,1
624,14:29:00,14:29:00,70222,20,,0,0,62207.87669606,1
624,14:33:00,14:33:00,70232,21,,0,0,65397.82046951,1
624,14:37:00,14:37:00,70242,22,,0,0,71287.50060100,1
624,14:44:00,14:44:00,70262,23,,0,0,75448.72622223,1
626,13:55:00,13:55:00,70012,1,,0,0,0.00000000,1
626,14:00:00,14:00:00,70022,2,,0,0,2521.94934933,1
626,14:04:00,14:04:00,70032,3,,0,0,7940.93034485,1
626,14:10:00,14:10:00,70042,4,,0,0,14613.27361600,1
